amplitude,I_rho,I_theta,I_sigma,I_E
0.0,0.0,0.0,0.0,0.0
0.049999999999999996,5.413901394640291e-05,1.3204568650085495e-05,4.421936356774292e-06,1.0072695288035013e-06
0.09999999999999999,0.00022365724497786145,5.3148177893121295e-05,1.779770921956063e-05,4.160621627018159e-06
0.15,0.0005208190267458739,0.00012040163142465036,4.031758012948135e-05,9.685643930523921e-06
0.19999999999999998,0.0009604919323009744,0.00021564839611463372,7.220936443675977e-05,1.785343895325029e-05
0.24999999999999997,0.0015608787240547488,0.00033970180579601686,0.00011374416582972497,2.8993197108194047e-05
0.3,0.0023445236177426095,0.000493526758139439,0.00016524360855354006,4.3509393388247954e-05
0.35,0.0033397240610399145,0.0006782674010751618,0.00022708906614133666,6.190578840060886e-05
0.39999999999999997,0.0045825578196728315,0.0008952829585083902,0.00029973360324546064,8.481970574485979e-05
0.44999999999999996,0.00611987196162996,0.0011461948592080668,0.00038371768520711273,0.00011307229668787349
0.49999999999999994,0.008013828261132915,0.0014329499571818093,0.0004796902514925164,0.0001477445455691422
0.5499999999999999,0.010349070492579592,0.0017579073301573437,0.0005884376485841986,0.00019029642023883598
0.6,0.013244524501144357,0.0021239608204273006,0.0007109244771802671,0.0002427618799529571
